date,germany-1_close,germany-1_var,u.s.-1_close,u.s.-1_var,brazil-1_close,brazil-1_var,switzerland-1_close,switzerland-1_var,uk-1_close,uk-1_var,italy-1_close,italy-1_var,japan-1_close,japan-1_var,china-1_close,china-1_var,canada-1_close,canada-1_var,france-1_close,france-1_var,south-korea-1_close,south-korea-1_var,australia-1_close,australia-1_var,germany-10_close,germany-10_var,u.s.-10_close,u.s.-10_var,brazil-10_close,brazil-10_var,switzerland-10_close,switzerland-10_var,uk-10_close,uk-10_var,italy-10_close,italy-10_var,japan-10_close,japan-10_var,china-10_close,china-10_var,canada-10_close,canada-10_var,france-10_close,france-10_var,south-korea-10_close,south-korea-10_var,australia-10_close,australia-10_var
2022-03-08,,,1.0909,4.39,,,-0.620,-11.43,1.1310,-0.13,,,-0.085,3.66,2.032,-1.34,,,,,1.426,0.00,0.699,1.30,-0.0135,3.85,1.785,0.48,,,,,,,1.602,0.09,0.155,0.00,2.849,-0.14,,,0.475,-0.52,2.717,0.37,2.220,1.32
2022-03-07,-0.685,-2.84,1.0450,-0.45,13.275,2.04,-0.700,0.00,1.1325,10.87,-0.505,-3.07,-0.082,-7.87,2.059,-0.87,1.240,0.00,-0.635,-4.65,1.426,-2.06,0.690,7.81,-0.0130,-87.13,1.777,5.57,11.860,3.85,0.176,-3.30,1.2995,5.44,1.601,5.12,0.155,19.16,2.853,0.76,1.726,3.73,0.477,11.45,2.707,2.27,2.191,5.34
2022-03-06,,,1.0497,2.01,,,,,1.0215,-2.48,,,-0.089,-6.32,,,,,,,1.456,0.00,0.640,3.90,,,1.683,-3.13,,,,,,,,,0.131,-15.81,,,,,,,2.647,0.00,2.080,-1.28
2022-03-05,,,,,,,,,1.0475,0.62,,,,,,,,,,,1.456,0.00,,,,,,,,,,,1.2325,1.69,,,,,,,,,,,2.647,-0.56,2.107,-1.27
2022-03-04,-0.705,6.02,1.0290,-3.83,13.010,0.00,-0.700,9.38,1.0410,-5.71,-0.521,7.20,-0.095,23.38,2.077,-0.91,1.240,-2.36,-0.666,7.59,1.456,-2.28,0.616,6.57,-0.1010,-559.09,1.737,-5.60,11.420,0.00,0.182,-4.21,1.2120,-6.70,1.523,-4.15,0.155,-8.28,2.832,-0.42,1.664,-6.41,0.428,-13.54,2.662,0.57,2.134,-1.02
2022-03-03,-0.665,0.00,1.0700,2.20,13.010,1.80,-0.640,-9.86,1.1040,5.34,-0.486,0.83,-0.077,4.05,2.096,2.09,1.270,0.00,-0.619,0.16,1.490,0.20,0.578,8.24,0.0220,120.00,1.840,-2.02,11.420,0.79,0.190,12.43,1.2990,2.77,1.589,3.65,0.169,21.58,2.844,0.39,1.778,-2.25,0.495,3.34,2.647,1.30,2.156,2.33
2022-03-02,-0.665,-0.75,1.0470,17.64,12.780,1.03,-0.710,-2.74,1.0480,41.05,-0.482,-13.15,-0.074,-0.67,2.053,1.13,1.270,13.39,-0.618,-1.28,1.487,-0.60,0.534,-7.45,0.0100,-114.49,1.878,9.49,11.330,0.09,0.169,111.25,1.2640,13.98,1.533,8.26,0.139,-5.44,2.833,0.53,1.819,6.25,0.479,36.86,2.613,-2.68,2.107,-2.90
2022-03-01,-0.670,4.69,0.8900,-11.97,,,-0.730,5.80,0.7430,-24.03,-0.555,11.45,-0.075,7.19,2.030,-1.98,1.120,-9.68,-0.626,5.74,1.496,0.00,0.577,-11.09,-0.0690,-143.40,1.716,-5.82,,,0.080,-69.58,1.1090,-21.63,1.416,-19.45,0.147,-20.11,2.818,0.97,1.712,-5.67,0.350,-43.18,2.685,0.37,2.170,-0.37
2022-02-28,-0.640,0.00,1.0110,-11.52,,,-0.690,7.81,0.9780,-12.01,-0.498,13.70,-0.069,0.00,2.071,2.78,1.240,-2.36,-0.592,1.54,1.496,-0.33,0.649,0.93,0.1590,-29.02,1.822,-3.82,,,0.263,-17.55,1.4150,-4.84,1.758,-4.82,0.184,-6.12,2.791,0.04,1.815,-4.27,0.616,-12.99,2.675,0.30,2.178,1.07
2022-02-27,,,1.1426,1.38,,,-0.640,1.59,1.1115,-0.94,,,-0.069,-12.58,,,,,,,1.501,0.00,0.643,-7.22,,,1.894,-3.88,,,,,1.4870,-0.37,,,0.196,-6.22,,,,,,,2.667,0.00,2.155,-4.18
2022-02-26,,,,,,,,,1.1220,16.27,,,,,2.015,-0.25,,,,,1.501,0.00,0.693,-0.72,,,,,,,,,1.4925,2.30,,,,,,,,,,,2.667,-0.15,2.249,0.90
2022-02-25,-0.640,0.00,1.1270,4.74,12.650,0.32,-0.630,6.78,0.9650,-6.94,-0.438,6.83,-0.079,18.66,2.020,-2.60,1.270,0.79,-0.583,-0.34,1.501,0.74,0.698,3.87,0.2240,30.99,1.970,0.00,11.320,0.09,0.319,22.69,1.4590,0.90,1.847,1.82,0.209,10.58,2.790,-0.57,1.896,-1.25,0.708,6.95,2.671,1.87,2.229,2.81
2022-02-24,-0.640,4.92,1.0760,-6.43,12.610,0.64,-0.590,-6.35,1.0370,-4.69,-0.410,-2.61,-0.067,-2.90,2.074,0.05,1.260,-2.33,-0.585,1.56,1.490,-0.86,0.672,-8.45,0.1710,-24.00,1.970,-1.40,11.310,1.25,0.260,-8.13,1.4460,-2.03,1.814,-6.49,0.189,-5.26,2.806,-0.43,1.920,-2.74,0.662,-9.07,2.622,-3.74,2.168,-3.77
2022-02-23,-0.610,-2.40,1.1500,5.41,12.530,-0.40,-0.630,1.61,1.0880,-6.13,-0.421,-6.03,-0.069,-4.17,2.073,0.29,1.290,1.57,-0.576,0.00,1.503,0.13,0.734,4.86,0.2250,-7.41,1.998,2.78,11.170,-0.36,0.283,5.99,1.4760,0.14,1.940,0.41,0.199,2.84,2.818,-0.88,1.974,2.49,0.728,-1.22,2.724,0.26,2.253,3.02
2022-02-22,-0.625,-3.10,1.0910,6.31,12.580,0.28,-0.620,-4.62,1.1590,4.23,-0.448,-0.22,-0.072,-0.69,2.067,2.73,1.270,1.60,-0.576,0.00,1.501,0.27,0.700,-2.51,0.2430,21.50,1.944,3.78,11.210,-0.09,0.267,8.10,1.4740,4.91,1.932,0.68,0.194,-7.18,2.843,0.21,1.926,2.67,0.737,2.93,2.717,-2.05,2.187,-0.36
2022-02-21,-0.645,-1.07,1.0262,3.34,12.545,0.04,-0.650,1.56,1.1120,3.39,-0.449,-3.02,-0.072,6.62,2.012,1.36,,,-0.576,2.13,1.497,0.47,0.718,1.27,0.2000,-2.44,1.873,-2.78,11.220,-0.36,0.247,-11.15,1.4050,1.30,1.919,3.73,0.209,5.82,2.837,1.18,,,0.716,4.37,2.774,1.69,2.195,0.23
2022-02-20,,,,,,,-0.640,0.00,1.0755,0.84,,,-0.068,-8.72,,,,,,,,,,,,,,,,,,,1.3870,0.62,,,0.198,-9.40,,,,,,,,,2.190,0.27
2022-02-19,,,,,,,-0.640,-1.54,1.0665,-2.87,,,,,,,,,,,,,,,,,,,,,,,1.3785,-0.18,,,,,,,,,,,,,2.184,-2.37
2022-02-18,-0.652,-0.15,0.9930,-2.74,12.540,-0.24,-0.650,1.56,1.0980,-3.35,-0.463,-5.12,-0.075,17.32,1.985,3.66,1.250,0.00,-0.564,-0.53,,,0.709,-2.61,0.2050,-12.02,1.927,-2.11,11.260,0.00,0.278,2.58,1.3810,-5.28,1.850,0.16,0.218,-2.68,2.804,0.75,1.876,-2.09,0.686,-2.14,2.728,0.74,2.237,-0.09
2022-02-17,-0.653,0.31,1.0210,-2.67,12.570,0.00,-0.640,3.23,1.1360,-4.70,-0.488,11.93,-0.064,-11.19,1.915,0.16,1.250,-2.34,-0.567,3.09,1.490,0.20,0.728,-5.70,0.2330,-14.34,1.968,-3.51,11.260,0.63,0.271,-13.42,1.4580,-4.39,1.847,-3.15,0.224,4.19,2.783,-0.36,1.916,-2.19,0.701,-6.78,2.708,0.26,2.239,0.18
2022-02-16,-0.651,0.46,1.0490,-2.24,12.570,0.00,-0.620,10.71,1.1920,-8.87,-0.436,18.16,-0.072,-5.30,1.912,1.92,1.280,0.00,-0.550,1.29,1.487,0.88,0.772,2.66,0.2720,-12.54,2.040,-0.17,11.190,-0.80,0.313,-10.06,1.5250,-3.60,1.907,-3.49,0.215,2.38,2.793,-0.25,1.959,-0.71,0.752,-4.08,2.701,-0.33,2.235,3.00
2022-02-15,-0.648,1.89,1.0730,-2.81,12.570,-0.63,-0.560,-8.20,1.3080,-3.25,-0.369,-25.75,-0.075,0.00,1.876,-2.80,1.280,4.07,-0.543,0.74,1.474,0.34,0.752,3.30,0.3110,13.92,2.043,2.90,11.280,0.18,0.348,14.47,1.5820,-0.25,1.976,0.10,0.210,-3.67,2.800,0.07,1.973,3.52,0.784,2.89,2.710,0.11,2.170,1.97
2022-02-14,-0.636,5.12,1.1040,4.45,12.650,0.60,-0.610,-4.69,1.3520,8.29,-0.497,12.95,-0.075,-5.06,1.930,3.26,1.230,3.36,-0.539,3.85,1.469,0.14,0.728,-2.93,0.2730,-6.51,1.986,3.53,,,0.304,-9.52,1.5860,2.45,1.974,0.61,0.218,4.31,2.798,0.14,1.906,1.87,0.762,-1.30,2.707,-1.02,2.128,1.33
2022-02-13,,,,,,,-0.640,8.47,,,,,-0.079,-2.47,,,,,,,1.467,0.00,,,,,,,,,,,,,,,0.209,-6.70,,,,,,,2.735,0.00,,
2022-02-12,,,,,,,-0.590,-6.35,1.2485,-2.76,,,,,,,,,,,1.467,0.00,,,,,,,,,,,,,,,,,,,,,,,2.735,-0.51,2.100,-3.45
2022-02-11,-0.605,-0.98,1.0570,-2.67,12.575,1.78,-0.630,3.28,1.2840,5.77,-0.440,15.18,,,1.869,0.38,1.190,0.00,-0.519,0.97,1.467,1.52,0.750,13.46,0.2920,0.00,1.918,-6.13,11.260,-2.64,0.336,19.15,1.5480,0.98,1.962,3.37,,,2.794,1.82,1.871,-3.41,0.772,2.93,2.749,2.35,2.175,4.57
2022-02-10,-0.611,-1.77,1.0860,22.99,12.355,0.98,-0.610,0.00,1.2140,5.66,-0.382,-2.30,-0.081,5.19,1.862,-1.12,1.190,5.31,-0.514,-0.77,1.445,-0.28,0.661,-2.65,0.2920,32.73,2.043,5.04,11.565,0.61,0.282,13.25,1.5330,7.05,1.898,7.41,0.224,9.27,2.744,0.37,1.937,4.87,0.750,11.94,2.686,-0.11,2.080,-0.48
2022-02-09,-0.622,4.36,0.8830,0.00,12.235,-0.49,-0.610,1.67,1.1490,-4.09,-0.391,16.02,-0.077,-0.65,1.883,-1.57,1.130,0.89,-0.518,15.37,1.449,-0.34,0.679,-1.16,0.2200,-16.67,1.945,-1.01,11.495,1.73,0.249,-25.00,1.4320,-3.96,1.767,-4.64,0.205,-1.91,2.734,0.44,1.847,-0.54,0.670,-6.69,2.689,-1.65,2.090,0.43
2022-02-08,-0.596,2.76,0.8830,2.08,12.295,1.57,-0.600,-4.76,1.1980,3.72,-0.337,21.66,-0.078,0.65,1.913,-2.45,1.120,2.75,-0.449,0.67,1.454,0.55,0.687,5.53,0.2640,17.86,1.965,2.37,11.300,1.16,0.332,22.96,1.4910,5.45,1.853,2.21,0.209,5.03,2.722,0.00,1.857,1.03,0.718,6.53,2.734,3.68,2.081,4.73
2022-02-07,-0.580,0.52,0.8650,-3.67,12.105,-0.49,-0.630,-1.56,1.1550,1.14,-0.277,-12.06,-0.077,0.65,1.961,0.82,1.090,-2.68,-0.446,-11.68,1.446,-0.34,0.651,-2.69,0.2240,7.69,1.919,0.48,11.170,-0.27,0.270,2.66,1.4140,-0.28,1.813,3.30,0.199,1.02,2.722,0.20,1.838,-0.97,0.674,3.85,2.637,1.35,1.987,-1.73
