date,유로/달러_close,유로/달러_var,달러/엔_close,달러/엔_var,파운드/달러_close,파운드/달러_var,달러/터키_리라_close,달러/터키_리라_var,달러/스위스_프랑_close,달러/스위스_프랑_var,달러/캐나다_달러_close,달러/캐나다_달러_var,유로/엔_close,유로/엔_var,호주_달러/달러_close,호주_달러/달러_var,뉴질랜드_달러/달러_close,뉴질랜드_달러/달러_var,유로/파운드_close,유로/파운드_var,유로/스위스_프랑_close,유로/스위스_프랑_var,호주_달러/엔_close,호주_달러/엔_var,파운드/엔_close,파운드/엔_var,스위스_프랑/엔_close,스위스_프랑/엔_var,유로/캐나다_달러_close,유로/캐나다_달러_var,호주_달러/캐나다_달러_close,호주_달러/캐나다_달러_var,캐나다_달러/엔_close,캐나다_달러/엔_var,뉴질랜드_달러/엔_close,뉴질랜드_달러/엔_var,호주_달러/뉴질랜드_달러_close,호주_달러/뉴질랜드_달러_var,파운드/호주_달러_close,파운드/호주_달러_var,유로/호주_달러_close,유로/호주_달러_var,파운드/스위스_프랑_close,파운드/스위스_프랑_var,유로/뉴질랜드_달러_close,유로/뉴질랜드_달러_var,호주_달러/스위스_프랑_close,호주_달러/스위스_프랑_var,파운드/뉴질랜드_달러_close,파운드/뉴질랜드_달러_var,달러/인도_루피_close,달러/인도_루피_var,달러/중국_위안_close,달러/중국_위안_var,달러/싱가폴_달러_close,달러/싱가폴_달러_var,달러/홍콩_달러_close,달러/홍콩_달러_var,달러/덴마크_크로네_close,달러/덴마크_크로네_var,파운드/캐나다_달러_close,파운드/캐나다_달러_var,달러/스웨덴_크로나_close,달러/스웨덴_크로나_var,달러/러시아_루블_close,달러/러시아_루블_var,달러/멕시코_페소_close,달러/멕시코_페소_var,달러/남아프리카_란드_close,달러/남아프리카_란드_var,캐나다_달러/스위스_프랑_close,캐나다_달러/스위스_프랑_var,뉴질랜드_달러/캐나다_달러_close,뉴질랜드_달러/캐나다_달러_var,뉴질랜드_달러/스위스_프랑_close,뉴질랜드_달러/스위스_프랑_var,비트코인/달러_close,비트코인/달러_var,비트코인/유로_close,비트코인/유로_var,이더리움/달러_close,이더리움/달러_var
2022-03-08,1.0865,0.12,115.53,0.20,1.3115,0.10,14.4306,0.45,0.9258,0.05,1.2816,-0.02,125.51,0.29,0.7290,-0.36,0.6809,-0.30,0.8285,0.06,1.0060,0.18,84.21,-0.18,151.46,0.25,124.75,0.12,1.3925,0.11,0.9342,-0.38,90.11,0.19,78.64,-0.15,1.0701,-0.04,1.7997,0.55,1.4907,0.56,1.2142,0.14,1.5953,0.47,0.6748,-0.32,1.9260,0.46,76.891,-0.09,6.3154,-0.06,1.3639,0.18,7.8205,0.01,6.8533,-0.05,1.6807,0.08,9.9991,0.07,,,21.3452,0.21,15.3587,0.15,0.7224,0.09,0.8731,-0.27,0.6306,-0.22,38518.4,1.26,35411.7,1.19,2528.42,1.44
2022-03-07,1.0852,-0.20,115.29,0.29,1.3102,-0.83,14.3666,0.73,0.9253,0.55,1.2818,0.81,125.15,0.13,0.7316,-1.05,0.6830,-0.64,0.8280,0.61,1.0042,0.35,84.37,-0.74,151.09,-0.52,124.60,-0.26,1.3910,0.61,0.9378,-0.25,89.93,-0.52,78.76,-0.33,1.0705,-0.48,1.7899,0.17,1.4825,0.81,1.2125,-0.27,1.5879,0.38,0.6770,-0.51,1.9172,-0.25,76.960,0.70,6.3194,0.03,1.3615,-0.04,7.8194,0.06,6.8567,0.22,1.6794,-0.03,9.9924,0.71,105.0000,0.00,21.3000,1.55,15.3354,-0.10,0.7217,-0.27,0.8755,0.16,0.6320,-0.09,38039.0,-1.04,34994.2,-0.84,2492.53,-2.23
2022-03-06,1.0874,-0.48,114.96,0.15,1.3211,-0.10,14.2628,0.55,0.9202,0.41,1.2716,-0.11,124.99,-0.33,0.7394,0.33,0.6874,0.20,0.8230,-0.35,1.0007,-0.07,85.00,0.48,151.88,0.05,124.92,-0.21,1.3826,-0.60,0.9402,0.21,90.40,0.29,79.02,0.36,1.0756,0.18,1.7868,-0.40,1.4706,-0.78,1.2158,0.31,1.5819,-0.63,0.6805,0.73,1.9219,-0.25,76.425,0.02,6.3177,-0.02,1.3620,0.13,7.8148,0.02,6.8418,0.56,1.6799,-0.21,9.9222,0.58,,,20.9743,0.19,15.3505,-0.25,0.7236,0.55,0.8741,0.09,0.6326,0.61,38437.0,-2.46,35290.7,-2.16,2549.40,-4.35
2022-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39408.0,0.61,36069.8,0.70,2665.42,1.65
2022-03-04,1.0926,-1.25,114.78,-0.59,1.3225,-0.91,14.1845,0.63,0.9165,-0.07,1.2730,0.39,125.41,-1.82,0.7370,0.56,0.6860,0.88,0.8259,-0.31,1.0014,-1.31,84.59,-0.04,151.80,-1.49,125.18,-0.52,1.3909,-0.86,0.9382,0.96,90.14,-0.99,78.74,0.29,1.0737,-0.32,1.7940,-1.47,1.4821,-1.81,1.2121,-0.97,1.5918,-2.11,0.6755,0.51,1.9267,-1.77,76.410,0.61,6.3188,-0.01,1.3602,0.29,7.8136,-0.03,6.8038,1.21,1.6835,-0.52,9.8646,1.34,105.0000,-0.95,20.9350,1.46,15.3891,1.26,0.7197,-0.48,0.8733,1.29,0.6287,0.82,39171.0,-7.81,35817.3,-6.62,2622.15,-7.50
2022-03-03,1.1064,-0.51,115.46,-0.03,1.3346,-0.43,14.0950,0.62,0.9171,-0.37,1.2680,0.41,127.74,-0.55,0.7329,0.45,0.6800,0.24,0.8285,-0.10,1.0147,-0.88,84.62,0.42,154.09,-0.46,125.84,0.33,1.4029,-0.11,0.9293,0.87,91.04,-0.43,78.51,0.19,1.0772,0.22,1.8207,-0.85,1.5094,-0.93,1.2240,-0.79,1.6261,-0.74,0.6721,0.07,1.9615,-0.66,75.943,0.44,6.3195,-0.02,1.3562,0.21,7.8158,0.04,6.7226,0.51,1.6923,-0.01,9.7338,0.59,106.0100,-0.01,20.6336,0.20,15.1975,-0.72,0.7232,-0.75,0.8622,0.64,0.6236,-0.14,42490.0,-3.33,38354.9,-2.90,2834.85,-3.80
2022-03-02,1.1121,-0.04,115.50,0.53,1.3403,0.62,14.0084,0.66,0.9205,0.22,1.2628,-0.88,128.45,0.49,0.7296,0.66,0.6784,0.43,0.8293,-0.65,1.0237,0.19,84.27,1.19,154.80,1.12,125.42,0.31,1.4044,-0.90,0.9213,-0.24,91.43,1.41,78.36,0.98,1.0748,0.20,1.8363,-0.01,1.5236,-0.64,1.2337,0.81,1.6383,-0.48,0.6716,0.87,1.9745,0.15,75.611,-0.19,6.3210,0.15,1.3533,-0.28,7.8128,-0.04,6.6888,0.04,1.6925,-0.28,9.6765,0.51,106.0200,4.73,20.5930,-0.20,15.3071,-0.75,0.7287,1.10,0.8567,-0.43,0.6245,0.66,43952.0,-1.10,39499.9,-1.06,2946.73,-0.97
2022-03-01,1.1126,-0.83,114.89,-0.09,1.3321,-0.73,13.9160,0.52,0.9185,0.21,1.2740,0.51,127.82,-0.92,0.7248,-0.19,0.6755,-0.06,0.8347,-0.13,1.0218,-0.63,83.28,-0.28,153.08,-0.80,125.03,-0.30,1.4172,-0.34,0.9235,0.33,90.16,-0.58,77.60,-0.15,1.0727,-0.10,1.8365,-0.58,1.5334,-0.72,1.2238,-0.50,1.6462,-0.77,0.6658,0.03,1.9716,-0.64,75.752,0.34,6.3116,0.05,1.3571,0.18,7.8157,0.02,6.6859,0.86,1.6973,-0.21,9.6277,1.51,101.2325,7.01,20.6350,0.85,15.4224,0.40,0.7208,-0.29,0.8604,0.43,0.6204,0.15,44442.0,2.87,39921.9,3.70,2975.66,1.82
2022-02-28,1.1219,-0.43,114.99,-0.49,1.3419,0.10,13.8443,0.18,0.9166,-0.91,1.2675,-0.24,129.01,-0.91,0.7262,0.41,0.6759,0.37,0.8358,-0.54,1.0283,-1.33,83.51,-0.07,154.31,-0.39,125.40,0.41,1.4220,-0.66,0.9205,0.19,90.69,-0.25,77.72,-0.13,1.0738,0.05,1.8473,-0.28,1.5445,-0.81,1.2300,-0.81,1.6589,-0.80,0.6656,-0.51,1.9842,-0.27,75.493,0.58,6.3084,-0.13,1.3546,0.11,7.8139,0.07,6.6291,0.43,1.7009,-0.13,9.4849,1.04,94.6025,14.00,20.4610,0.62,15.3614,1.48,0.7229,-0.67,0.8567,0.13,0.6195,-0.55,43202.0,14.49,38496.0,14.11,2922.35,11.70
2022-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37734.0,-3.56,33735.3,-2.84,2616.15,-5.77
