symbol,name,url
eur-usd,유로/달러,https://kr.investing.com/currencies/eur-usd-historical-data
usd-jpy,달러/엔,https://kr.investing.com/currencies/usd-jpy-historical-data
gbp-usd,파운드/달러,https://kr.investing.com/currencies/gbp-usd-historical-data
usd-try,달러/터키_리라,https://kr.investing.com/currencies/usd-try-historical-data
usd-chf,달러/스위스_프랑,https://kr.investing.com/currencies/usd-chf-historical-data
usd-cad,달러/캐나다_달러,https://kr.investing.com/currencies/usd-cad-historical-data
eur-jpy,유로/엔,https://kr.investing.com/currencies/eur-jpy-historical-data
aud-usd,호주_달러/달러,https://kr.investing.com/currencies/aud-usd-historical-data
nzd-usd,뉴질랜드_달러/달러,https://kr.investing.com/currencies/nzd-usd-historical-data
eur-gbp,유로/파운드,https://kr.investing.com/currencies/eur-gbp-historical-data
eur-chf,유로/스위스_프랑,https://kr.investing.com/currencies/eur-chf-historical-data
aud-jpy,호주_달러/엔,https://kr.investing.com/currencies/aud-jpy-historical-data
gbp-jpy,파운드/엔,https://kr.investing.com/currencies/gbp-jpy-historical-data
chf-jpy,스위스_프랑/엔,https://kr.investing.com/currencies/chf-jpy-historical-data
eur-cad,유로/캐나다_달러,https://kr.investing.com/currencies/eur-cad-historical-data
aud-cad,호주_달러/캐나다_달러,https://kr.investing.com/currencies/aud-cad-historical-data
cad-jpy,캐나다_달러/엔,https://kr.investing.com/currencies/cad-jpy-historical-data
nzd-jpy,뉴질랜드_달러/엔,https://kr.investing.com/currencies/nzd-jpy-historical-data
aud-nzd,호주_달러/뉴질랜드_달러,https://kr.investing.com/currencies/aud-nzd-historical-data
gbp-aud,파운드/호주_달러,https://kr.investing.com/currencies/gbp-aud-historical-data
eur-aud,유로/호주_달러,https://kr.investing.com/currencies/eur-aud-historical-data
gbp-chf,파운드/스위스_프랑,https://kr.investing.com/currencies/gbp-chf-historical-data
eur-nzd,유로/뉴질랜드_달러,https://kr.investing.com/currencies/eur-nzd-historical-data
aud-chf,호주_달러/스위스_프랑,https://kr.investing.com/currencies/aud-chf-historical-data
gbp-nzd,파운드/뉴질랜드_달러,https://kr.investing.com/currencies/gbp-nzd-historical-data
usd-inr,달러/인도_루피,https://kr.investing.com/currencies/usd-inr-historical-data
usd-cny,달러/중국_위안,https://kr.investing.com/currencies/usd-cny-historical-data
usd-sgd,달러/싱가폴_달러,https://kr.investing.com/currencies/usd-sgd-historical-data
usd-hkd,달러/홍콩_달러,https://kr.investing.com/currencies/usd-hkd-historical-data
usd-dkk,달러/덴마크_크로네,https://kr.investing.com/currencies/usd-dkk-historical-data
gbp-cad,파운드/캐나다_달러,https://kr.investing.com/currencies/gbp-cad-historical-data
usd-sek,달러/스웨덴_크로나,https://kr.investing.com/currencies/usd-sek-historical-data
usd-rub,달러/러시아_루블,https://kr.investing.com/currencies/usd-rub-historical-data
usd-mxn,달러/멕시코_페소,https://kr.investing.com/currencies/usd-mxn-historical-data
usd-zar,달러/남아프리카_란드,https://kr.investing.com/currencies/usd-zar-historical-data
cad-chf,캐나다_달러/스위스_프랑,https://kr.investing.com/currencies/cad-chf-historical-data
nzd-cad,뉴질랜드_달러/캐나다_달러,https://kr.investing.com/currencies/nzd-cad-historical-data
nzd-chf,뉴질랜드_달러/스위스_프랑,https://kr.investing.com/currencies/nzd-chf-historical-data
btc-usd,비트코인/달러,https://kr.investing.com/crypto/bitcoin/btc-usd-historical-data
btc-eur,비트코인/유로,https://kr.investing.com/crypto/bitcoin/btc-eur-historical-data
eth-usd,이더리움/달러,https://kr.investing.com/crypto/ethereum/eth-usd-historical-data
