date,kospi_close,kospi_vol,kospi_var,kospi-50_close,kospi-50_vol,kospi-50_var,kosdaq_close,kosdaq_vol,kosdaq_var,us-30_close,us-30_vol,us-30_var,us-spx-500_close,us-spx-500_vol,us-spx-500_var,nasdaq-composite_close,nasdaq-composite_vol,nasdaq-composite_var,smallcap-2000_close,smallcap-2000_vol,smallcap-2000_var,volatility-s-p-500_close,volatility-s-p-500_vol,volatility-s-p-500_var,s-p-tsx-composite_close,s-p-tsx-composite_vol,s-p-tsx-composite_var,bovespa_close,bovespa_vol,bovespa_var,ipc_close,ipc_vol,ipc_var,germany-30_close,germany-30_vol,germany-30_var,uk-100_close,uk-100_vol,uk-100_var,france-40_close,france-40_vol,france-40_var,eu-stoxx50_close,eu-stoxx50_vol,eu-stoxx50_var,netherlands-25_close,netherlands-25_vol,netherlands-25_var,spain-35_close,spain-35_vol,spain-35_var,it-mib-40_close,it-mib-40_vol,it-mib-40_var,switzerland-20_close,switzerland-20_vol,switzerland-20_var,psi-20_close,psi-20_vol,psi-20_var,bel-20_close,bel-20_vol,bel-20_var,atx_close,atx_vol,atx_var,omx-stockholm-30_close,omx-stockholm-30_vol,omx-stockholm-30_var,mcx_close,mcx_vol,mcx_var,rtsi_close,rtsi_vol,rtsi_var,wig-20_close,wig-20_vol,wig-20_var,hungary-stock-market_close,hungary-stock-market_vol,hungary-stock-market_var,ise-100_close,ise-100_vol,ise-100_var,ta25_close,ta25_vol,ta25_var,tasi_close,tasi_vol,tasi_var,japan-ni225_close,japan-ni225_vol,japan-ni225_var,aus-200_close,aus-200_vol,aus-200_var,shanghai-composite_close,shanghai-composite_vol,shanghai-composite_var,szse-component_close,szse-component_vol,szse-component_var,ftse-china-a50_close,ftse-china-a50_vol,ftse-china-a50_var,dj-shanghai_close,dj-shanghai_vol,dj-shanghai_var,hang-sen-40_close,hang-sen-40_vol,hang-sen-40_var,taiwan-weighted_close,taiwan-weighted_vol,taiwan-weighted_var,thailand-set_close,thailand-set_vol,thailand-set_var,idx-composite_close,idx-composite_vol,idx-composite_var,s-p-cnx-nifty_close,s-p-cnx-nifty_vol,s-p-cnx-nifty_var,sensex_close,sensex_vol,sensex_var,vn-30_close,vn-30_vol,vn-30_var
2022-03-08,2633.62,447.42K,-0.67,2409.77,40.65K,-0.49,873.70,808.73K,-0.89,,,,,,,,,,,,,36.45,-,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24777.50,-,-1.76,6985.70,761.37M,-0.75,3341.65,312.29K,-0.93,12374.34,107.37K,-1.58,13862.37,-,-0.30,491.02,-,-0.80,21017.00,-,-0.19,16823.31,-,-2.07,1602.02,20.45M,-1.52,6868.94,17.32B,-0.00,15777.25,224.66K,-0.54,52574.90,7.32K,-0.51,1505.94,116.79K,-0.21
2022-03-07,2651.31,556.55K,-2.29,2421.65,57.91K,-2.51,881.54,850.68K,-2.16,32813.56,473.57M,-2.38,4201.09,-,-2.95,12830.96,1.29B,-3.62,1951.33,-,-2.48,36.45,-,13.98,21304.40,424.35M,-0.46,111593,14.06M,-2.52,52312.61,239.26M,-1.89,12834.65,192.41M,-1.98,6959.48,2.11B,-0.40,5982.27,243.01M,-1.31,3512.22,82.26M,-1.23,669.04,189.66M,-0.40,7644.60,469.18M,-0.99,22160.28,1.47B,-1.36,11204.67,-,-0.84,5393.48,240.40M,1.16,3682.48,13.62M,-2.07,2920.29,12.83M,-3.62,1980.35,169.89M,-0.26,,,,,,,1934.94,86.73M,0.84,39883.29,-,-0.90,1997.33,3.12B,0.33,1935.95,37.10M,-0.46,12808.03,285.82M,0.03,25221.41,1.05B,-2.94,7038.60,1.01B,-1.02,3372.86,39.36B,-2.17,12573.43,14.52B,-3.43,13904.27,-,-3.56,494.97,-,-2.40,21057.63,3.32B,-3.87,17178.69,5.83B,-3.15,1626.70,31.73B,-2.69,6869.07,26.13B,-0.86,15863.15,585.40M,-2.35,52842.75,17.11M,-2.74,1509.12,222.54K,-1.06
2022-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944.87,9.95M,0.07,12804.22,276.19M,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-04,2713.43,765.68M,-1.22,2483.92,44.20M,-1.93,900.96,1.00B,-1.25,33614.67,395.92M,-0.53,4328.87,-,-0.79,13313.44,1.04B,-1.66,2000.90,-,-1.55,31.98,-,4.92,21402.43,331.74M,0.72,114474,10.72M,-0.60,53322.05,226.44M,-0.38,13094.54,178.57M,-4.41,6987.14,1.56B,-3.48,6061.66,180.59M,-4.97,3556.01,74.42M,-4.96,671.73,146.21M,-4.78,7720.90,395.65M,-3.63,22464.86,1.22B,-6.24,11300.13,90.56M,-3.22,5331.85,181.14M,-2.49,3760.43,9.38M,-2.95,3029.95,10.28M,-3.97,1985.54,124.72M,-3.07,,,,,,,1918.75,53.30M,-4.52,40246.70,-,-3.37,1990.75,2.90B,-1.61,,,,,,,25985.47,935.30M,-2.23,7110.80,972.29M,-0.57,3447.65,39.35B,-0.96,13020.46,13.74B,-1.37,14417.24,-,-1.62,507.12,-,-1.04,21905.29,2.44B,-2.50,17736.52,4.42B,-1.10,1671.72,29.75B,-1.44,6928.33,24.75B,0.87,16245.35,456.14M,-1.53,54333.81,10.99M,-1.40,1525.34,220.07K,0.19
2022-03-03,2747.08,614.51M,1.61,2532.88,48.72M,1.89,912.32,1.06B,1.88,33794.96,355.10M,-0.28,4363.49,-,-0.53,13537.94,1.03B,-1.56,2032.41,-,-1.29,30.48,-,-0.85,21250.41,297.66M,-0.02,115166,12.12M,-0.01,53528.01,216.85M,0.43,13698.40,118.91M,-2.16,7238.85,1.23B,-2.57,6378.37,132.46M,-1.84,3741.78,50.89M,-2.06,705.42,119.03M,-2.16,8011.40,297.39M,-3.72,23958.83,1.02B,-2.35,11675.70,57.69M,-1.65,5468.22,164.01M,-0.88,3874.66,7.81M,-2.11,3155.36,9.61M,1.02,2048.51,96.59M,-2.29,,,,,,,2009.56,71.58M,-1.68,41651.26,-,4.19,2023.29,2.61B,1.87,1943.51,36.41M,-0.75,12756.31,303.81M,0.80,26577.27,747.89M,0.70,7151.40,830.93M,0.49,3481.11,41.26B,-0.09,13201.82,14.04B,-1.09,14654.44,-,-0.74,512.44,-,-0.19,22467.34,1.94B,0.55,17934.40,4.01B,0.37,1696.08,29.94B,0.37,,,,16498.05,442.07M,-0.65,55102.68,9.91K,-0.66,1522.49,244.08K,1.59
2022-03-02,2703.52,527.95M,0.16,2485.91,51.30M,-0.44,895.45,1.04B,1.63,33889.96,387.96M,1.79,4386.54,-,1.86,13752.02,1.03B,1.62,2058.87,-,2.51,30.74,-,-7.74,21255.64,290.96M,1.20,115174,10.70M,1.80,53300.66,198.23M,0.25,14000.11,158.82M,0.69,7429.56,1.33B,1.36,6498.02,169.99M,1.59,3820.59,67.45M,1.45,721.00,153.84M,1.06,8321.00,339.70M,1.62,24534.33,749.02M,0.70,11871.59,76.00M,0.08,5516.96,178.61M,0.34,3958.10,9.71M,0.51,3123.41,13.42M,-0.81,2096.53,155.77M,0.56,,,,,,,2043.96,75.62M,3.91,39976.11,-,2.73,1986.09,2.51B,0.82,1958.29,23.30M,0.26,12654.65,277.67M,-0.16,26393.03,877.11M,-1.68,7116.70,927.53M,0.28,3484.19,32.94B,-0.13,13346.96,11.74B,-1.05,14764.13,-,-1.10,513.44,-,-0.30,22343.92,2.23B,-1.84,17867.60,4.01B,-0.17,1689.81,27.83B,-0.26,6868.40,32.58B,-0.77,16605.95,517.72M,-1.12,55468.90,12.44M,-1.38,1498.61,291.45K,-1.42
2022-03-01,,,,,,,,,,33293.96,424.92M,-1.73,4306.26,-,-1.54,13532.46,1.24B,-1.59,2008.51,-,-1.93,33.32,-,10.51,21004.51,352.53M,-0.58,,,,53168.82,182.51M,-0.43,13904.85,145.25M,-3.85,7330.20,1.34B,-1.72,6396.49,171.61M,-3.94,3765.85,71.93M,-4.04,713.46,139.74M,-2.23,8188.20,360.18M,-3.43,24363.56,824.20M,-4.14,11862.28,72.01M,-1.04,5498.27,198.23M,-1.17,3937.92,10.15M,-1.90,3148.92,10.21M,-7.08,2084.93,115.25M,-2.30,,,,,,,1967.01,56.78M,-1.64,38913.62,-,-11.02,1969.91,3.19B,1.22,1953.28,31.00M,-1.00,12674.34,266.79M,0.67,26844.72,740.24M,1.20,7096.50,807.54M,0.67,3488.83,32.60B,0.77,13488.64,12.58B,0.24,14928.45,-,1.32,514.96,-,0.81,22761.71,1.80B,0.21,17898.25,4.58B,1.39,1694.28,27.58B,0.54,6921.44,19.60B,0.48,,,,,,,1520.12,187.03K,0.19
2022-02-28,2699.18,613.47M,0.84,2496.85,61.89M,0.79,881.07,1.07B,0.93,33879.55,412.86M,-0.53,4373.79,-,-0.25,13751.40,1.39B,0.41,2048.09,-,0.35,30.15,-,9.28,21126.36,391.84M,0.10,,,,53400.61,951.23M,1.61,14461.02,160.85M,-0.73,7458.25,1.58B,-0.42,6658.83,171.93M,-1.39,3924.23,77.05M,-1.17,729.72,155.46M,0.26,8479.20,396.64M,-0.09,25415.89,760.48M,-1.39,11986.78,75.29M,-0.00,5563.14,178.17M,1.24,4014.02,21.35M,-1.16,3388.98,15.55M,-3.34,2134.07,160.62M,-0.35,,,,,,,1999.88,77.83M,1.48,43731.25,-,-4.45,1946.19,2.81B,-0.32,1973.02,35.23M,0.60,12590.26,264.76M,1.39,26526.82,910.56M,0.19,7049.10,1.01B,0.73,3462.31,34.58B,0.32,13455.73,12.46B,0.32,14733.32,-,0.15,510.84,-,0.31,22713.02,2.83B,-0.24,,,,1685.18,27.86B,0.31,,,,16793.90,404.22M,0.81,56247.28,7.73M,0.70,1517.18,193.57K,-0.61
2022-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.19,14.58M,1.75,12417.56,235.88M,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,2676.76,664.35M,1.06,2477.26,50.73M,0.81,872.98,1.37B,2.92,34058.55,405.10M,2.52,4384.62,-,2.24,13694.62,978.45M,1.64,2040.93,-,2.25,27.59,-,-9.00,21106.00,272.67M,1.66,113142,17.56M,1.39,52555.60,201.52M,2.14,14567.23,160.38M,3.67,7489.46,1.37B,3.92,6752.43,152.43M,3.55,3970.69,66.18M,3.69,727.85,138.57M,2.72,8486.60,381.38M,3.51,25773.03,669.51M,3.59,11987.31,72.14M,3.01,5495.21,209.74M,2.75,4061.17,10.50M,4.18,3506.14,10.51M,4.05,2141.52,117.99M,3.05,2470.48,-,20.04,936.94,-,26.12,1970.78,51.01M,8.44,45769.16,-,6.19,1952.40,3.30B,5.46,,,,,,,26476.50,775.80M,1.95,6997.80,888.81M,0.10,3451.41,37.75B,0.63,13412.92,13.68B,1.21,14711.55,-,0.82,509.24,-,0.76,22767.18,2.52B,-0.59,17652.18,5.03B,0.33,1679.90,27.64B,1.03,6888.17,21.19B,1.03,16658.40,329.78M,2.53,55858.52,9.87M,2.44,1526.50,198.11K,0.29
