date,미국_구리_close,미국_구리_vol,미국_구리_var,영국_구리_close,영국_구리_vol,영국_구리_var,금_close,금_vol,금_var,영국_납_close,영국_납_vol,영국_납_var,영국_니켈_close,영국_니켈_vol,영국_니켈_var,미국_백금_close,미국_백금_vol,미국_백금_var,영국_아연_close,영국_아연_vol,영국_아연_var,영국_알루미늄_close,영국_알루미늄_vol,영국_알루미늄_var,은_close,은_vol,은_var,영국_주석_close,영국_주석_vol,영국_주석_var,미국_팔라듐_close,미국_팔라듐_vol,미국_팔라듐_var
2022-03-01,4.5965,69.00K,3.19,10061.50,64.03K,1.80,1943.80,224.00K,2.27,2409.00,13.11K,0.92,25103.00,15.92K,3.38,1059.75,-,1.39,3746.00,28.57K,2.18,3478.00,68.56K,3.25,25.541,68.56K,4.82,45785.00,1.42K,1.24,2608.50,-,4.86
2022-02-28,4.4545,59.50K,-0.68,9883.50,45.11K,0.11,1900.70,249.27K,0.69,2387.00,15.28K,0.78,24282.00,21.93K,-0.32,1045.20,-,-1.63,3666.00,26.16K,1.23,3368.50,85.69K,0.33,24.366,55.28K,-0.38,45224.00,0.66K,1.70,2487.52,-,0.24
2022-02-25,4.4850,57.82K,0.54,9873.00,29.04K,0.09,1887.60,229.78K,-2.01,2368.50,12.47K,1.07,24361.00,24.14K,-1.44,1059.30,-,-0.14,3621.50,18.43K,-0.54,3357.50,57.61K,-1.09,24.017,67.32K,-2.80,44470.00,0.83K,-1.59,2372.50,-,-2.00
2022-02-24,4.4610,68.08K,-0.61,9864.00,52.57K,-0.02,1926.30,423.05K,0.83,2343.50,14.86K,0.34,24716.00,37.51K,1.31,1060.80,-,-3.24,3641.00,26.16K,1.95,3394.50,106.85K,3.10,24.710,90.87K,0.46,45189.00,1.11K,0.57,2421.02,-,-2.56
2022-02-23,4.4885,40.17K,-0.64,9866.00,28.64K,-0.49,1910.40,154.84K,0.16,2335.50,7.11K,-0.26,24396.00,17.38K,-0.66,1096.30,-,1.48,3571.50,16.92K,-0.93,3292.50,50.20K,-0.32,24.598,37.69K,0.99,44935.00,2.01K,1.24,2484.50,-,5.88
2022-02-22,4.5175,52.98K,0.83,9915.00,32.15K,0.17,1907.40,334.59K,-0.24,2341.50,7.87K,0.32,24558.00,23.69K,0.86,1080.30,-,-0.58,3605.00,17.96K,1.32,3303.00,69.13K,0.72,24.356,42.99K,1.32,44383.00,0.77K,0.52,2346.50,-,-2.27
2022-02-21,4.4805,-,-0.88,9898.00,18.06K,-0.58,1912.05,-,0.21,2334.00,10.23K,-0.62,24349.00,13.15K,0.85,1086.55,-,0.68,3558.00,11.64K,-0.49,3279.50,28.21K,0.52,24.038,-,0.02,44152.00,0.75K,0.03,2401.02,-,1.39
2022-02-18,4.5260,23.36K,-0.04,9956.00,32.03K,0.27,1899.80,161.75K,-0.12,2348.50,12.88K,0.11,24144.00,18.07K,1.08,1069.90,-,-2.50,3575.50,25.82K,-0.85,3262.50,42.99K,-0.17,24.038,-,0.48,44140.00,1.21K,0.68,2351.00,-,-0.82
2022-02-17,4.5280,24.39K,-0.29,9929.00,29.10K,-0.64,1902.00,268.55K,1.63,2346.00,13.17K,0.34,23886.00,15.30K,2.05,1097.35,-,3.63,3606.00,14.51K,0.61,3268.00,39.81K,0.37,23.922,-,1.13,43843.00,0.63K,0.33,2370.50,-,3.49
2022-02-16,4.5410,21.25K,0.11,9992.50,25.82K,0.24,1871.50,141.49K,0.82,2338.00,12.58K,1.28,23406.00,12.06K,0.49,1058.90,-,3.33,3584.00,16.28K,0.06,3256.00,55.31K,1.50,23.654,-,1.13,43699.00,0.61K,0.67,2290.50,-,1.52
