iter	Logloss
0	0.6912860061
1	0.6891986622
2	0.6869816479
3	0.6849018081
4	0.683568978
5	0.6821209464
6	0.680469672
7	0.6790316838
8	0.6776071015
9	0.676309576
10	0.674652497
11	0.6719005183
12	0.6703820943
13	0.6689415993
14	0.6674564497
15	0.6657877692
16	0.6641646193
17	0.662124367
18	0.6600608396
19	0.6584228516
20	0.6564992788
21	0.6545701947
22	0.6535554704
23	0.6515902084
24	0.6500338081
25	0.6484305091
26	0.6470524658
27	0.6451101104
28	0.6428150941
29	0.6410160118
30	0.6388500533
31	0.6367074083
32	0.635286864
33	0.6336655069
34	0.6321780836
35	0.6310941307
36	0.6289174079
37	0.6273999087
38	0.6254652361
39	0.623982947
40	0.6217148764
41	0.6200023417
42	0.6183140673
43	0.6172269228
44	0.6158125406
45	0.6139709476
46	0.6125873581
47	0.6113804648
48	0.6102046825
49	0.6088361634
50	0.6067360924
51	0.6052650174
52	0.6034605506
53	0.6020472091
54	0.6004438665
55	0.5986196349
56	0.5969926342
57	0.5953132981
58	0.5936905079
59	0.59274152
60	0.5907846659
61	0.5893118459
62	0.587539645
63	0.5864150081
64	0.5853650124
65	0.583341586
66	0.5819893775
67	0.5803139923
68	0.5789973477
69	0.577675947
70	0.576100157
71	0.5752830366
72	0.5742681692
73	0.57264956
74	0.5715747219
75	0.5697624842
76	0.5686325211
77	0.5671465127
78	0.5659437263
79	0.5643727066
80	0.5625813681
81	0.5611641173
82	0.5597781837
83	0.5586465458
84	0.5574882961
85	0.5560693401
86	0.5543986194
87	0.5529390568
88	0.5512905558
89	0.5505565845
90	0.5489361359
91	0.5478064727
92	0.5462515477
93	0.5453758499
94	0.5443826577
95	0.5431651584
96	0.5414783515
97	0.5401575267
98	0.5394801804
99	0.5385047039
100	0.5372909288
101	0.5361548866
102	0.5346856719
103	0.5337961848
104	0.5326530504
105	0.5313479895
106	0.5299200324
107	0.5289673114
108	0.5274732592
109	0.5262361498
110	0.5247276729
111	0.5240458581
112	0.5227717142
113	0.5216604257
114	0.5198363021
115	0.5187620732
116	0.5175423358
117	0.5159673936
118	0.5149733327
119	0.5133969672
120	0.5121692909
121	0.5115799313
122	0.5104395148
123	0.5090067445
124	0.5080929814
125	0.5064481892
126	0.5046552492
127	0.5036745915
128	0.5026000017
129	0.5012314077
130	0.4999570582
131	0.4990377223
132	0.49784018
133	0.4968314516
134	0.4956509978
135	0.4945457455
136	0.4932431261
137	0.4921541983
138	0.4914888678
139	0.4902141843
140	0.4890601248
141	0.4878268409
142	0.4864504165
143	0.4855863995
144	0.4845559803
145	0.4834117472
146	0.482126256
147	0.4814215467
148	0.4801667558
149	0.4793951403
150	0.4783338464
151	0.4771097394
152	0.4762339508
153	0.4750155631
154	0.4737897337
