iter	Passed	Remaining
0	17	17597
1	25	12560
2	32	10824
3	39	9934
4	47	9380
5	54	9043
6	62	8796
7	69	8590
8	76	8428
9	83	8288
10	91	8202
11	98	8139
12	106	8088
13	114	8055
14	121	8001
15	129	7951
16	136	7907
17	143	7854
18	151	7814
19	158	7774
20	166	7750
21	173	7726
22	181	7703
23	188	7673
24	196	7651
25	203	7619
26	210	7598
27	218	7575
28	226	7589
29	234	7595
30	243	7610
31	252	7646
32	262	7705
33	272	7738
34	281	7750
35	288	7734
36	296	7715
37	304	7702
38	312	7693
39	319	7675
40	327	7663
41	336	7672
42	343	7649
43	352	7649
44	359	7625
45	366	7603
46	373	7581
47	381	7566
48	388	7547
49	396	7530
50	403	7511
51	411	7492
52	418	7475
53	425	7460
54	433	7444
55	440	7425
56	460	7614
57	467	7593
58	474	7572
59	482	7551
60	489	7530
61	496	7513
62	503	7493
63	511	7479
64	518	7462
65	526	7447
66	533	7434
67	541	7424
68	549	7412
69	556	7396
70	564	7382
71	571	7368
72	579	7352
73	586	7339
74	593	7323
75	601	7308
76	608	7293
77	615	7279
78	623	7266
79	630	7251
80	637	7237
81	645	7223
82	652	7209
83	660	7197
84	667	7186
85	675	7177
86	698	7330
87	705	7315
88	713	7299
89	720	7283
90	728	7272
91	736	7264
92	743	7253
93	751	7243
94	759	7234
95	779	7337
96	786	7325
97	794	7308
98	801	7292
99	808	7277
100	815	7263
101	823	7250
102	831	7239
103	838	7228
104	846	7217
105	854	7205
106	862	7194
107	869	7182
108	877	7169
109	884	7155
110	891	7142
111	899	7128
112	906	7116
113	913	7103
114	921	7089
115	928	7076
116	935	7063
117	943	7050
118	950	7038
119	957	7024
120	965	7015
121	973	7003
122	980	6993
123	988	6983
124	996	6972
125	1004	6965
126	1012	6961
127	1021	6956
128	1030	6954
129	1037	6944
130	1045	6933
131	1052	6923
132	1060	6911
133	1067	6899
134	1075	6888
135	1083	6881
136	1091	6873
137	1102	6888
138	1110	6876
139	1117	6864
140	1124	6853
141	1132	6842
142	1139	6830
143	1147	6819
144	1154	6810
145	1163	6806
146	1171	6800
147	1180	6796
148	1188	6788
149	1196	6778
150	1203	6767
151	1210	6755
152	1218	6745
153	1225	6734
154	1233	6722
155	1240	6711
156	1247	6700
157	1255	6689
158	1262	6678
159	1270	6667
160	1277	6656
161	1284	6645
162	1291	6634
163	1299	6622
164	1306	6611
165	1313	6601
166	1321	6590
167	1334	6606
168	1341	6597
169	1349	6589
170	1357	6579
171	1364	6569
172	1372	6559
173	1380	6551
174	1387	6541
175	1395	6533
176	1403	6526
177	1412	6520
178	1419	6511
179	1427	6502
180	1434	6492
181	1442	6481
182	1449	6471
183	1456	6460
184	1464	6451
185	1472	6442
186	1479	6433
187	1487	6423
188	1494	6413
189	1502	6403
190	1509	6394
191	1516	6383
192	1524	6375
193	1532	6366
194	1539	6357
195	1547	6348
196	1555	6339
197	1562	6330
198	1570	6320
199	1577	6310
200	1584	6300
201	1592	6290
202	1599	6280
203	1606	6270
204	1614	6260
205	1621	6250
206	1629	6240
207	1636	6231
208	1643	6221
209	1651	6211
210	1658	6201
211	1665	6191
212	1673	6182
213	1680	6173
214	1688	6163
215	1695	6153
216	1702	6144
217	1710	6134
218	1718	6126
219	1725	6117
220	1733	6109
221	1740	6101
222	1748	6092
223	1755	6082
224	1763	6073
225	1770	6064
226	1778	6056
227	1786	6048
228	1794	6041
229	1802	6033
230	1809	6025
231	1817	6015
232	1824	6006
233	1832	5997
234	1839	5988
235	1846	5979
236	1854	5970
237	1861	5960
238	1885	6004
239	1893	5994
240	1900	5985
241	1908	5978
242	1916	5970
243	1925	5965
244	1932	5956
245	1940	5948
246	1948	5940
247	1956	5931
248	1964	5923
249	1971	5914
250	1978	5904
251	1986	5895
252	1993	5885
253	2000	5876
254	2008	5867
255	2015	5857
256	2022	5848
257	2030	5838
258	2037	5829
259	2045	5822
260	2053	5815
261	2062	5808
262	2069	5799
263	2076	5790
264	2084	5781
265	2091	5772
266	2099	5764
267	2108	5758
268	2116	5751
269	2125	5747
270	2134	5742
271	2143	5737
272	2151	5728
273	2159	5721
274	2167	5713
275	2174	5705
276	2182	5697
277	2190	5689
278	2198	5681
279	2206	5673
280	2214	5666
281	2223	5660
282	2231	5652
283	2239	5646
284	2247	5637
285	2255	5629
286	2262	5621
287	2271	5616
288	2279	5608
289	2287	5600
290	2295	5592
291	2303	5585
292	2311	5577
293	2319	5570
294	2327	5562
295	2335	5554
296	2343	5546
297	2350	5537
298	2358	5529
299	2366	5521
300	2373	5512
301	2381	5503
302	2388	5495
303	2396	5486
304	2404	5478
305	2411	5469
306	2419	5461
307	2427	5453
308	2435	5445
309	2443	5437
310	2451	5430
311	2458	5421
312	2466	5413
313	2473	5404
314	2481	5396
315	2489	5387
316	2496	5379
317	2504	5371
318	2512	5363
319	2519	5354
320	2527	5346
321	2535	5338
322	2543	5330
323	2551	5322
324	2559	5315
325	2567	5307
326	2575	5300
327	2583	5292
328	2591	5284
329	2598	5276
330	2606	5268
331	2614	5260
332	2622	5251
333	2629	5243
334	2637	5235
335	2644	5226
336	2652	5218
337	2660	5211
338	2669	5204
339	2677	5197
340	2685	5190
341	2696	5188
342	2704	5180
343	2712	5172
344	2720	5164
345	2728	5156
346	2735	5148
347	2743	5139
348	2751	5131
349	2758	5123
350	2766	5114
351	2774	5106
352	2783	5100
353	2790	5092
354	2798	5084
355	2806	5076
356	2814	5068
357	2822	5060
358	2829	5052
359	2837	5044
360	2845	5036
361	2852	5028
362	2861	5021
363	2869	5013
364	2876	5005
365	2884	4996
366	2892	4988
367	2899	4980
368	2907	4971
369	2915	4963
370	2922	4955
371	2930	4946
372	2937	4937
373	2945	4929
374	2953	4922
375	2960	4913
376	2968	4905
377	2975	4896
378	2983	4888
379	2991	4880
380	2998	4872
381	3006	4864
382	3014	4855
383	3021	4846
384	3029	4838
385	3037	4831
386	3044	4822
387	3052	4815
388	3060	4807
389	3068	4799
390	3075	4790
391	3082	4781
392	3090	4772
393	3097	4764
394	3105	4756
395	3112	4748
396	3120	4739
397	3127	4730
398	3135	4722
399	3143	4715
400	3151	4706
401	3159	4699
402	3166	4691
403	3174	4683
404	3181	4674
405	3189	4665
406	3196	4657
407	3203	4648
408	3211	4640
409	3218	4631
410	3226	4623
411	3233	4615
412	3241	4607
413	3250	4601
414	3258	4593
415	3266	4585
416	3274	4577
417	3282	4570
418	3291	4563
419	3299	4556
420	3310	4552
421	3318	4544
422	3325	4536
423	3333	4527
424	3340	4519
425	3347	4511
426	3355	4502
427	3362	4494
428	3369	4485
429	3377	4476
430	3384	4468
431	3392	4459
432	3399	4451
433	3406	4442
434	3413	4434
435	3421	4425
436	3429	4418
437	3437	4410
438	3446	4404
439	3454	4396
440	3461	4387
441	3468	4379
442	3476	4370
443	3483	4362
444	3491	4353
445	3498	4345
446	3503	4334
447	3510	4325
448	3518	4317
449	3525	4309
450	3533	4301
451	3541	4293
452	3549	4285
453	3557	4277
454	3565	4271
455	3575	4264
456	3585	4260
457	3594	4253
458	3604	4248
459	3614	4242
460	3623	4236
461	3632	4230
462	3642	4225
463	3651	4218
464	3660	4211
465	3671	4206
466	3681	4201
467	3691	4195
468	3701	4190
469	3710	4184
470	3720	4178
471	3729	4172
472	3738	4165
473	3749	4160
474	3759	4155
475	3768	4149
476	3778	4143
477	3788	4137
478	3798	4131
479	3807	4124
480	3817	4119
481	3828	4114
